Data_File	Data_File_Loc	Site	Latitude	Longitude	Nash	RMSE	Mu	Alpha	Theta	Beta	Drainage_Area_Km2	Mean_Elevation_m	Mean_Slope_P	Mean_Aspect	BFI_P	P_Clay	P_Sand	P_Silt	Biomass_tons	Stem_Count	UrbanKm2	AgroKm2	SwampsKm2	GrassKm2	PeatlandKm2	RockKm2	DeciduousKm2	OakPineKm2	BorealKm2	OpenWaterKm2	aug_mean_air_degC	aug_max_air_degC	aug_mean_precip_mm	feb_mean_air_degC	feb_max_air_degC	feb_mean_precip_mm
MAFW_3yr	29	MAKear55	42.43621	-72.92976	0.947	1.4	2.94E-05	18.04663	0.7105153	10.600473	5.7573	497.8299	13.195875	133.154039	45.18331	6.2115	42.19867	51.58984	134023.28	51071	0.21361316	0.41164593	0.01983733	0	0	0.013707341	5.098194	0	0	0	18.5	24.1825	110.1425	-5.03375	0.01	88.305
MAFW_3yr	30	MABron55	42.41789	-72.91468	0.938	1.506	2.38E-05	19.11059	0.7053638	11.07328	27.9549	463.3903	12.286891	110.696743	45.31005	6.2115	42.19867	51.58984	124900.86	246621	1.48396868	3.68301785	0.46119669	0	0.00272444	0.013707341	22.241651	0.062832409	0	0.002383885	18.596	24.5348	109.6648	-4.952	0.3612	88.4628
MAFW_3yr	32	MATiff55	42.19678	-72.95314	0.952	1.439	1.05E-05	18.69579	0.7694524	11.112832	7.6932	421.563	9.74865	217.654297	43.36206	5.739	41.00207	53.25893	120167.68	68991	0.76931388	0.59852552	0.1462684	0	0	0.051083259	6.116795	0.010982901	0	0	19.21875	25.1575	111.2475	-4.75	0.705	91.5425
MAFW_3yr	33	MAStag55	42.18059	-72.88805	0.941	1.545	9.27E-05	19.18338	0.7235941	10.999252	10.8756	359.5185	15.432378	92.490922	43.96752	5.959521	42.45028	51.5902	123894.77	95278	0.81758756	0.73049061	0.04384646	0	0	0.014729006	8.7704	0.472009316	0	0.025967323	19.449	25.525	109.817	-4.421	1.168	90.046
MAFW_3yr	34	MATowe55	42.41275	-72.88241	0.958	1.449	9.90E-06	20.29814	0.7910994	10.639376	10.2015	372.5552	13.191432	140.224558	45.12881	5.996343	41.65378	52.34987	125759.31	94829	0.40730385	0.96368569	0.83265713	0	0	0	7.791815	0.181090154	0	0.024009132	18.8805	25.319	107.07	-4.677	1.195	86.308
MAFW_3yr	35	MAPleas55	42.42871	-72.07622	0.925	2.024	8.27E-05	22.19822	0.8318066	10.207357	3.4776	283.9484	6.320792	80.280567	50	5.972482	48.16045	45.86707	99376.18	20592	0.24281576	0.56881209	0.13826536	0	0	0	2.529302	0	0	0	19.77	25.9	100.52	-3.946667	1.7666667	79.22333
MAFW_3yr	36	MAWilB55	42.6278	-72.8388	0.951	1.283	6.43E-05	18.35397	0.7182163	8.91683	2.7612	419.0598	15.307916	191.200117	45.02797	6.125191	41.60242	52.27239	118671.36	23930	0.14839687	0.36890627	0	0	0	0	2.220334	0.023498299	0	0	18.775	25.05	98.94	-5.0625	0.495	88.785
CT	3	1504	41.55954	-72.3284	0.972	1.139	3.66E-05	21.90484	0.752	11.6	3.8943	144.31734	5.841959	278.432374	51.99569	4.941601	55.51115	39.54725	80391.85	17067	1.2248914	0.24732811	0.48571666	0	0	0.000170278	0.42577897	1.5118091	0	0	20.9575	26.89	100.32167	-1.4625	3.7433333	86.62
CT	5	2532	41.9199	-72.1256	0.945	1.611	5.16E-05	21.8392	0.794	11.7	13.2426	227.59331	9.370995	157.204382	50.00966	6.34818	47.07694	46.57488	95336.2	73492	0.3688211	0.45004351	1.13072794	0	0	0.012941092	9.61088953	1.5362439	0	0.139201881	20.36211	25.62526	98.38842	-2.6721053	2.4663158	82.23895
CT	7	5910	41.54088	-72.94848	0.921	1.368	8.06E+00	23.5462	0.566	13.6	3.861	147.40194	12.572826	100.986856	48.11904	6.351486	45.85068	47.79784	78498.73	14657	1.3393179	0.07594378	0.01992247	0	0	0	0.36328711	2.0515888	0	0.010642346	21.07833	27.00667	107.185	-1.8233333	3.47	88.85667
CT	13	235	41.26747	-73.44138	0.947	1.951	1.12E-05	26.46428	0.864	13.7	31.554	175.28465	12.850258	37.483342	47.55609	6.164399	48.19997	45.63563	94003.22	123072	8.1721295	0.33740493	2.62193342	0	0	0.162359626	4.04170747	15.9321023	0	0.275253629	21.4776	26.9424	114.4084	-1.3096	3.7206	78.2364
CT	17	543	41.95544	-72.30131	0.953	1.65	2.58E-05	22.94267	0.827	11.2	42.4341	259.47986	11.118719	218.90207	53.2346	5.618937	48.13914	46.24192	106152.13	244854	3.362215	2.62942563	1.35804845	0	0	0.104039571	14.91580087	19.1069269	0	0.976967333	20.04623	25.51046	111.27585	-3.2572308	2.0475385	80.81077
CT	18	236	41.13587	-73.42601	0.928	2.197	5.25E-05	26.70978	0.873	13.8	85.2399	137.90193	11.990135	137.661167	47.08423	5.909526	49.27208	44.81839	86706.08	304542	24.2655698	1.7831463	4.25072314	0.459408778	0	0.190114863	6.40149863	46.9476437	0	0.909877986	21.81842	27.34269	111.69477	-0.8995	4.1240769	77.83885
CT	19	900	41.86676	-72.44244	0.957	1.483	5.41E-05	25.87857	0.755	11.5	44.0658	209.50051	8.678705	276.238358	52.11687	6.392468	46.7749	46.83263	86501.62	222180	4.8231962	3.5871516	4.64627785	0	0	0.023753716	9.01287485	19.6741213	0	2.312794563	20.34478	25.90507	108.30652	-2.5604348	2.5150725	77.21667
CT	23	1805	41.82139	-72.49931	0.957	1.57	9.98E-05	25.05776	0.793	12.3	33.6456	161.17758	10.727347	287.053844	53.11853	5.478897	52.04077	42.48033	82844.11	153703	11.5948782	1.29632284	1.30739088	0	0.01430331	0.215571354	6.32512916	12.613223	0	0.290493468	20.62971	26.29519	101.6725	-1.9556731	3.1719231	73.25712
CT	28	319	41.29447	-73.39483	0.941	2.081	3.21E-05	26.68788	0.864	13.1	53.649	174.6564	14.191236	288.543224	48.07674	5.98614	48.61463	45.39922	111647.07	233398	7.1834131	1.82656707	3.37668858	0.020177887	0	0.287173056	9.7634582	30.3247255	0	0.844661692	21.45693	26.9588	114.81554	-1.3466265	3.7073494	78.26434
CT	29	1	41.18643	-73.34293	0.944	1.855	3.02E-05	24.9678	0.812	12.7	59.7033	131.72339	11.909245	185.255104	47.31481	5.516834	51.65361	42.82955	100301.39	229484	9.1942204	3.32075241	2.87930791	0.148737423	0	0.016516921	8.16003983	35.4134695	0	0.549315315	21.74669	27.33	109.49157	-1.0203371	4.0324719	78.66551
CT	32	245	41.19088	-73.42974	0.949	1.848	5.98E-05	26.15912	0.852	14.4	69.8868	152.67027	12.533189	79.993879	46.93117	6.031134	48.61856	45.35031	92879.04	264129	15.8106093	1.75402885	3.79625241	0.363116835	0	0.190114863	6.40149863	40.718466	0	0.827208245	21.69241	27.20358	113.27302	-1.0427358	3.974717	78.13585
CT	33	89	41.98408	-72.29473	0.955	1.584	1.14E-05	24.98517	0.777	10.5	40.7628	262.49293	10.989655	223.904702	53.25504	5.630828	48.13909	46.23008	107609.79	237590	2.7918704	2.57331918	1.34757638	0	0	0.060618801	14.3498835	18.7773547	0	0.8813565	20.03849	25.49063	111.28016	-3.2696825	2.025873	80.93635
