year,month,day,precip,tmax,tmin,wind,Date
1949,8,17,0,24.13,11.95,4.69,17-8-1949
1949,8,18,1.55,23.33,12.5,3.8,18-8-1949
1949,8,19,1.4,22.14,11.08,7.02,19-8-1949
1949,8,20,0,21.26,4.92,6.11,20-8-1949
1949,8,21,0,25.99,6.62,2.96,21-8-1949
1949,8,22,0,28.82,6.73,1.8,22-8-1949
1949,8,23,0,29.1,9.97,2.75,23-8-1949
1949,8,24,0,28.66,12.76,3.74,24-8-1949
1949,8,25,0,26.28,8.48,5.49,25-8-1949
1949,8,26,0,32.14,10.19,7.3,26-8-1949
1949,8,27,0,33.67,13.37,7.38,27-8-1949
1949,8,28,18.1,32.47,17.72,7.95,28-8-1949
1949,8,29,18.5,27.58,18.37,11.18,29-8-1949
1949,8,30,1.5,26.03,10.91,0.83,30-8-1949
1949,8,31,7.47,25.12,12.67,4.44,31-8-1949
1949,9,1,3.83,25.89,13.01,7.19,1-9-1949
1949,9,2,1.9,23.74,4.73,6.2,2-9-1949
1949,9,3,0,24.99,5.32,4.37,3-9-1949
1949,9,4,0,26.9,7.28,0.4,4-9-1949
1949,9,5,0.08,28.68,13.78,5.3,5-9-1949
1949,9,6,0,23.91,12.2,4.28,6-9-1949
1949,9,7,1.17,18.52,4.73,6.2,7-9-1949
1949,9,8,5.93,17.37,6.66,3.76,8-9-1949
1949,9,9,1.35,16.09,6.7,7.57,9-9-1949
1949,9,10,0.25,18.73,4.5,9.12,10-9-1949
1949,9,11,0,22.2,3.83,5.78,11-9-1949
1949,9,12,0,21.12,8.46,10.05,12-9-1949
1949,9,13,8.05,19.25,10.09,9.44,13-9-1949
1949,9,14,12.52,25.83,15.31,5.46,14-9-1949
1949,9,15,7.93,25.43,13.69,3.54,15-9-1949
1949,9,16,0,21.94,7.73,3.8,16-9-1949
1949,9,17,0,23.23,7.29,3.79,17-9-1949
1949,9,18,14.73,23.94,8.64,7.89,18-9-1949
1949,9,19,4.55,23.16,12.38,7.48,19-9-1949
1949,9,20,0.35,21.14,7.28,7.15,20-9-1949
1949,9,21,0.9,18.96,5.96,6.32,21-9-1949
1949,9,22,7.03,17.57,9.95,7.49,22-9-1949
1949,9,23,8.27,17.03,8.59,5.59,23-9-1949
1949,9,24,1.25,16.35,6.08,9.27,24-9-1949
1949,9,25,0.25,15.95,1.26,6.55,25-9-1949
1949,9,26,0,17.67,-0.39,3.84,26-9-1949
1949,9,27,0.03,18.98,2.85,8.04,27-9-1949
1949,9,28,2.05,17.21,10.67,6.62,28-9-1949
1949,9,29,9.65,17.19,10.72,1.39,29-9-1949
1949,9,30,2.5,18.29,9.67,6.53,30-9-1949
1949,10,1,0,18.17,3.47,7.03,1-10-1949
1949,10,2,0,17.21,-0.27,5.98,2-10-1949
1949,10,3,0,18.58,2.19,3.51,3-10-1949
1949,10,4,1.55,22.55,6.2,3.39,4-10-1949
1949,10,5,1.58,22.95,9.76,5.22,5-10-1949
1949,10,6,0,19.79,3.72,6.48,6-10-1949
1949,10,7,4.53,17.32,4.87,4.38,7-10-1949
1949,10,8,2.08,20.12,9.79,3.82,8-10-1949
1949,10,9,0,26.18,15.1,3.48,9-10-1949
1949,10,10,0,29.02,15.2,5.63,10-10-1949
1949,10,11,0,29.42,12.49,3.99,11-10-1949
1949,10,12,0.65,28.24,13.75,7.56,12-10-1949
1949,10,13,0.2,21.9,7.23,3.86,13-10-1949
1949,10,14,4.03,21.19,2.07,6.21,14-10-1949
1949,10,15,7.72,15.76,6.81,3.84,15-10-1949
1949,10,16,0.9,15.79,1.37,12.11,16-10-1949
1949,10,17,0,18.96,-0.85,11.2,17-10-1949
1949,10,18,0,17.9,2.69,12.72,18-10-1949
1949,10,19,0,17.95,5.93,13.18,19-10-1949
1949,10,20,0,21.17,2.79,10.45,20-10-1949
1949,10,21,0,23.06,1.14,4.42,21-10-1949
1949,10,22,0.17,21.87,7.75,7.79,22-10-1949
1949,10,23,0,19.65,6.83,6.29,23-10-1949
1949,10,24,0,14.38,4.94,3.83,24-10-1949
1949,10,25,15.1,11.79,-3.46,6.55,25-10-1949
1949,10,26,13.77,14.42,2.25,3.4,26-10-1949
1949,10,27,0,12.6,-1.52,6.71,27-10-1949
1949,10,28,0.12,15.49,-4.04,3.68,28-10-1949
1949,10,29,0,18.54,3.83,1.16,29-10-1949
1949,10,30,7.6,15.78,4.61,1.53,30-10-1949
1949,10,31,11.05,16.15,7.95,7.6,31-10-1949
1949,11,1,0.32,14.35,1.71,7.75,1-11-1949
1949,11,2,0.05,13.41,0.29,3.55,2-11-1949
1949,11,3,3.4,15.44,-1.94,2.09,3-11-1949
1949,11,4,1.7,11.97,2.73,6.41,4-11-1949
1949,11,5,0.08,6.35,-0.77,6.66,5-11-1949
1949,11,6,0,5.06,-2.3,8.53,6-11-1949
1949,11,7,0,6.47,-2.22,6.34,7-11-1949
1949,11,8,0,16.38,0.83,10.06,8-11-1949
